time,desired_q1,desired_q2,actual_q1,actual_q2,error_q1,error_q2,error_norm
28.154719,0.44892563,0.22071801,0.55849544,-0.80890450,-0.10956981,1.02962251,1.03543617
28.174350,0.44943163,0.21507330,0.56246936,-0.81673005,-0.11303773,1.03180335,1.03797672
28.194317,0.44977795,0.20942323,0.48299978,-0.49885425,-0.03322183,0.70827748,0.70905618
28.214267,0.44996447,0.20376981,0.55254996,-0.76967924,-0.10258549,0.97344905,0.97883954
28.233979,0.44999112,0.19811506,0.54856859,-0.74663728,-0.09857747,0.94475234,0.94988131
28.254337,0.44985789,0.19246097,0.47784428,-0.46702240,-0.02798639,0.65948337,0.66007693
28.274673,0.44956482,0.18680956,0.57209505,-0.84717122,-0.12253023,1.03398078,1.04121559
28.294346,0.44911203,0.18116284,0.57444022,-0.89184050,-0.12532819,1.07300334,1.08029779
28.314339,0.44849967,0.17552282,0.48156349,-0.55026360,-0.03306382,0.72578642,0.72653915
28.334457,0.44772796,0.16989149,0.51205079,-0.69015361,-0.06432283,0.86004510,0.86244710
28.354290,0.44679717,0.16427085,0.51978592,-0.72723548,-0.07298875,0.89150633,0.89448918
28.374242,0.44570764,0.15866291,0.43350018,-0.40206163,0.01220746,0.56072454,0.56085741
28.394207,0.44445975,0.15306966,0.51068485,-0.71560742,-0.06622510,0.86867708,0.87119781
28.414385,0.44305395,0.14749308,0.50536639,-0.70685434,-0.06231244,0.85434742,0.85661681
28.434218,0.44149073,0.14193516,0.43242151,-0.43620731,0.00906922,0.57814247,0.57821360
28.453921,0.43977066,0.13639787,0.52842270,-0.83547735,-0.08865204,0.97187522,0.97591016
28.474310,0.43789433,0.13088317,0.53026962,-0.88821900,-0.09237529,1.01910217,1.02328023
28.494210,0.43586242,0.12539303,0.43737146,-0.54867745,-0.00150904,0.67407048,0.67407217
28.514685,0.43367566,0.11992940,0.46647668,-0.68416308,-0.03280102,0.80409248,0.80476122
28.534664,0.43133481,0.11449422,0.48262224,-0.75849129,-0.05128743,0.87298551,0.87449077
28.554340,0.42884070,0.10908942,0.38759618,-0.39816038,0.04124452,0.50724980,0.50892384
28.574343,0.42619424,0.10371692,0.44023482,-0.61116059,-0.01404058,0.71487751,0.71501538
28.594135,0.42339635,0.09837862,0.42376871,-0.53401329,-0.00037236,0.63239191,0.63239202
28.614256,0.42044802,0.09307644,0.34118030,-0.19435945,0.07926772,0.28743589,0.29816567
28.634261,0.41735032,0.08781224,0.47349888,-0.68964105,-0.05614856,0.77745329,0.77947821
28.654321,0.41410433,0.08258790,0.48945054,-0.76318607,-0.07534621,0.84577397,0.84912347
28.674520,0.41071121,0.07740528,0.39571295,-0.40856200,0.01499826,0.48596728,0.48619867
